pectus_tomografía,output,flag,username,timestamp
flagged\pectus_tomografía\877f741a17deabfbe57d\ct_7.png,,,,2024-07-21 21:39:09.483794
flagged\pectus_tomografía\8d22f51a5691e86b86e9\Imagen de WhatsApp 2024-07-21 a las 22.37.56_10f2df1a.jpg,,,,2024-07-21 22:40:30.813182
